Birth.Year..HOBBS.	Phenotype	Cruise	station	lat	lon	count
2012	FWR	2012-FMWT	797	38.407932	-121.613943	1
2012	FWR	2013-SKT	519	38.07361111	-121.933	1
2012	FWR	2013-SKT	715	38.22219444	-121.672	2
2012	FWR	2013-SKT	716	38.24133333	-121.6856667	1
2012	FWR	2013-SKT	719	38.33554	-121.646902	67
2012	MIG	2013-SKT	508	38.04719444	-121.923	2
2012	MIG	2013-SKT	519	38.07361111	-121.933	1
2012	MIG	2013-SKT	602	38.11611111	-122.031	2
2012	MIG	2013-SKT	606	38.16938889	-122.022	21
2012	MIG	2013-SKT	609	38.167744	-121.934369	14
2012	MIG	2013-SKT	610	38.167744	-121.934369	3
2012	MIG	2013-SKT	704	38.06941667	-121.775	8
2012	MIG	2013-SKT	706	38.09169444	-121.739	5
2012	MIG	2013-SKT	707	38.11391667	-121.706	3
2012	MIG	2013-SKT	715	38.22219444	-121.672	1
2012	MIG	2013-SKT	719	38.33554	-121.646902	20
